iter	RMSE
193	285072.0202
194	284577.9917
195	284187.0802
196	283467.0536
197	282944.0642
198	282440.2329
199	281988.3816
200	281620.1716
201	280995.3453
202	279939.6187
203	279373.7018
204	278579.818
205	277991.7617
206	277771.388
207	277425.1673
208	277160.3935
209	276888.923
210	276341.0105
211	276279.5408
212	275859.111
213	275384.5285
214	274580.9118
215	274354.7132
216	274001.5718
217	273700.7871
218	272623.1053
219	272114.2751
220	271429.5216
221	270860.9383
222	270621.3939
223	270323.5868
224	269897.8576
225	268774.1791
226	268514.9676
227	268103.6973
228	267629.5447
229	267435.7865
230	266903.3807
231	266601.3985
232	266230.9126
233	265803.4527
234	265579.7721
235	265234.3884
236	264903.5163
237	264598.1785
238	264193.8255
239	263930.1061
240	263708.9173
241	263264.781
242	262931.586
243	262670.3303
244	262313.98
245	262122.1226
246	261651.7241
247	261111.9655
248	260604.8768
249	260392.3229
250	260242.4127
251	259492.3434
252	259427.1361
253	259270.1565
254	259120.8733
255	258975.8069
256	258671.0785
257	258106.3052
258	257854.6972
259	257567.7011
260	257376.3513
261	257197.1394
262	256421.7832
263	256187.6444
264	255903.4324
265	255582.2445
266	255299.1513
267	254984.4561
268	254112.9269
269	253915.785
270	253753.3271
271	253620.5825
272	253425.7424
273	253221.1334
274	252946.6103
275	252827.1373
276	252183.9343
277	251923.0936
278	251618.5478
279	251083.1848
280	250860.6737
281	250537.967
282	250308.5648
283	250045.4191
284	249492.0505
285	249388.2317
286	249133.3658
287	248899.8539
288	248800.5448
289	248581.4899
290	248398.8407
291	248300.805
292	247942.8903
293	247726.1316
294	247518.1451
295	247427.2407
296	247197.5436
297	246901.3206
298	246748.9787
299	246374.77
300	246167.2618
301	245983.6018
302	245898.4507
303	245754.1813
304	245549.3552
305	245342.8186
306	245170.0989
307	244888.1487
308	244709.2378
309	244513.7651
310	244203.706
311	244128.8959
312	243936.7118
313	243829.4645
314	243496.3031
315	243239.7985
316	242876.9233
317	242740.6668
318	242485.9533
319	242195.4583
320	242141.6443
321	241819.4237
322	241567.7968
323	241529.9412
324	241123.9961
325	240832.7373
326	240722.3753
327	240597.1604
328	240512.7566
329	240242.54
330	240086.692
331	239967.6614
332	239754.3187
333	239602.4195
334	239392.04
335	238829.4028
336	238653.8791
337	238413.3622
338	238205.6145
339	237978.721
340	237874.9811
341	237478.8308
342	237398.7271
343	237177.5091
344	237122.9448
345	236993.5906
346	236508.2054
347	236454.9856
348	236185.7853
349	236081.1182
350	236031.7317
351	235950.4932
352	235644.5728
353	235594.823
354	235395.4791
355	235348.0198
356	235303.9858
357	235130.7281
358	234607.1169
359	234443.0052
360	234236.8886
361	234056.2356
362	233830.9021
363	233709.6083
364	233530.4921
365	233405.5149
366	233221.9556
367	233075.937
368	233007.896
369	232831.3389
370	232665.6582
371	232422.4497
372	232381.4931
373	232256.3081
374	232217.1646
375	231978.8184
376	231811.7958
377	231784.4345
378	231738.2482
379	231665.5556
380	231640.7258
381	231425.5061
382	231300.9274
383	231037.146
384	230917.3671
385	230712.2588
386	230670.6981
387	230657.2748
388	230516.1294
389	230301.1632
390	230229.2197
391	230118.0432
392	230059.1177
393	229951.8746
394	229783.5259
395	229712.1913
396	229667.0609
397	229558.8106
398	229477.3101
399	229366.9129
400	229351.1208
401	229165.9445
402	229026.7016
403	228594.6996
404	228248.0429
405	227881.6326
406	227824.3218
407	227785.5024
408	227644.0238
409	227500.5601
410	227465.1608
411	227371.9134
412	227223.1207
413	227164.636
414	227040.8355
415	226902.6412
416	226785.3714
417	226701.2287
418	226669.8126
419	226531.8622
420	226465.6196
421	226225.9927
422	226138.4938
423	225990.0566
424	225943.3531
425	225867.0849
426	225824.6546
427	225787.7286
428	225640.6592
429	225527.6009
430	225362.82
431	225267.1002
432	225170.5813
433	225032.4867
434	224954.6193
435	224899.9851
436	224819.8837
437	224759.0224
438	224723.6808
439	224584.8695
440	224553.2121
441	224380.8067
442	224029.3994
443	223964.6162
444	223940.9159
445	223852.4841
446	223804.9018
447	223754.0279
448	223684.1842
449	223653.956
450	223550.6381
451	223522.3328
452	223501.5207
453	223216.1942
454	223181.5622
455	223059.7006
456	222928.7496
457	222903.84
458	222796.5813
459	222672.545
460	222494.1571
461	222441.2625
462	222257.8779
463	222081.291
464	222072.2591
465	221962.1918
466	221930.5928
467	221850.4011
468	221825.3591
469	221777.6362
470	221737.4897
471	221685.964
472	221661.5096
473	221638.4728
474	221512.9543
475	221496.4336
476	221422.6217
477	221399.1834
478	221391.1198
479	221357.6159
480	221273.2763
481	221231.3785
482	220932.9935
483	220701.1963
484	220552.1075
485	220531.1002
486	220416.9384
487	220341.2239
488	220300.2246
489	220266.8475
490	220225.0894
491	220204.7758
492	220197.5499
493	220150.9001
494	220100.2024
495	220085.6431
496	219970.6519
497	219937.0915
498	219918.5375
499	219910.0732
500	219806.6049
501	219798.6846
502	219791.392
503	219749.145
504	219648.0961
505	219276.3932
506	219241.0877
507	219214.8172
508	219185.5905
509	218955.1875
510	218835.4696
511	218828.4305
512	218778.092
513	218650.1764
514	218565.1161
515	218471.5753
516	218281.2674
517	218274.1186
518	218239.7627
519	218222.4063
520	218196.7585
521	218116.3984
522	218047.9137
523	217791.0706
524	217777.6136
525	217627.0741
526	217599.911
527	217587.0318
528	217315.8203
529	217070.6334
530	216978.6212
531	216884.7176
532	216865.4915
533	216830.0109
534	216704.3906
535	216583.2178
536	216384.6757
537	216370.2189
538	216298.8455
539	216212.3214
540	216171.2814
541	216081.1398
542	216067.6563
543	216062.2143
544	216056.1896
545	216020.1569
546	215797.8502
547	215678.2356
548	215603.0251
549	215564.4913
550	215528.8214
551	215350.6234
552	215248.3612
553	215096.9175
554	214745.5204
555	214719.8807
556	214691.8685
557	214576.8526
558	214495.9159
559	214205.6596
560	214177.5195
561	214111.4048
562	213899.5625
563	213855.9441
564	213791.2877
565	213777.6263
566	213762.9284
567	213738.8303
568	213637.7657
569	213505.9381
570	213339.5107
571	213271.6228
572	213182.3652
573	213141.6333
574	213110.7008
575	213105.0279
576	213073.0074
577	213051.8989
578	213039.7097
579	212940.7099
580	212791.0833
581	212767.2278
582	212716.6266
583	212655.0002
584	212636.2595
585	212582.5974
586	212527.7759
587	212515.3079
588	212439.492
589	212417.2071
590	212226.6553
591	212196.9253
592	212118.9453
593	212048.1619
594	212021.939
595	212011.068
596	211992.662
597	211982.6405
598	211824.4071
599	211646.5904
600	211642.1025
601	211499.1503
602	211422.3473
603	211416.9834
604	211387.8517
605	211375.3279
606	211332.7332
607	211287.024
608	211224.1456
609	211159.2401
610	211094.3913
611	211089.4369
612	211047.3518
613	211032.6751
614	211021.7953
615	210955.0154
616	210929.1217
617	210924.6231
618	210840.2605
619	210835.5076
620	210740.9737
621	210552.4651
622	210541.5405
623	210518.2923
624	210360.6403
625	210246.8402
626	210205.7663
627	210181.3393
628	210163.0601
629	210153.288
630	210135.302
631	210113.3798
632	210076.4107
633	210033.0851
634	209957.244
635	209823.7399
636	209787.5463
637	209766.1578
638	209746.9306
639	209690.8061
640	209686.353
641	209682.2194
642	209666.3368
643	209662.3624
644	209627.6258
645	209623.9361
646	209563.0773
647	209500.3123
648	209356.8983
649	209303.3064
650	209196.634
651	209116.4865
652	209101.7791
653	209006.154
654	208912.2552
655	208908.3892
656	208887.3433
657	208810.4117
658	208800.499
659	208649.8067
660	208628.6525
661	208624.6009
662	208620.3767
663	208566.6237
664	208498.9492
665	208428.1964
666	208367.4813
667	208240.8341
668	208177.6088
669	208124.5949
670	208055.4811
671	208022.7328
672	207962.6587
673	207863.2376
674	207627.9795
675	207610.2237
676	207579.7177
677	207503.1275
678	207435.4036
679	207416.2734
680	207412.751
681	207300.1855
682	207187.0789
683	207179.3568
684	207151.1477
685	207147.8566
686	207127.9354
687	207027.227
688	207010.6814
689	206892.7255
690	206721.3476
691	206713.2454
692	206709.2381
693	206706.0739
694	206682.2
695	206663.7325
696	206428.4161
697	206420.5861
698	206339.4392
699	206194.3847
700	206187.2912
701	206051.0566
702	206046.0493
703	205884.5299
704	205876.0013
705	205852.2998
706	205817.7239
707	205813.3065
708	205809.1281
709	205754.0069
710	205693.0217
711	205672.8862
712	205622.8319
713	205619.7312
714	205504.8426
715	205429.0092
716	205405.2679
717	205313.5194
718	205309.782
719	205306.3369
720	205303.8007
721	205259.6036
722	205212.6583
723	205209.7073
724	204989.3809
725	204982.5125
726	204881.4011
727	204802.5765
728	204697.4845
729	204694.8233
730	204595.0784
731	204552.2475
732	204550.0743
733	204510.1812
734	204494.2893
735	204429.4899
736	204323.1579
737	204254.7018
738	204231.0782
739	204175.3758
740	203983.3947
741	203912.4887
742	203896.5873
743	203831.8551
744	203810.5507
745	203679.4804
746	203645.7375
747	203595.2897
748	203580.8954
749	203483.2361
750	203344.1204
751	203337.7054
752	203246.9777
753	203241.1442
754	203222.5025
755	203192.4884
756	203190.0124
757	203187.124
758	203184.9698
759	203135.3708
760	203012.3325
761	202961.168
762	202915.3734
763	202838.7037
764	202794.35
765	202746.3403
766	202659.291
767	202655.5993
768	202614.0607
769	202612.062
770	202585.581
771	202574.5021
772	202571.2558
773	202541.5165
774	202416.926
775	202413.8072
776	202411.0005
777	202409.3074
778	202371.7396
779	202350.5247
780	202272.815
781	202219.5599
782	202176.2994
783	201525.828
784	201438.5473
785	201395.6931
786	201333.8717
787	201277.5372
788	201219.547
789	201195.0032
790	201125.1031
791	201029.7106
792	200974.1556
793	200751.5667
794	200639.7195
795	200609.094
796	200558.1489
797	200542.6313
798	200540.1969
799	200538.0069
800	200421.9078
801	200363.7751
802	200361.877
803	200266.4281
804	200230.2168
805	200186.6828
806	200167.1054
807	200146.7308
808	199959.4757
809	199875.2879
810	199858.1016
811	199789.342
812	199771.4428
813	199768.7482
814	199689.6661
815	199687.7067
816	199674.5691
817	199658.8758
818	199602.7746
819	199591.6335
820	199535.351
821	199498.8444
822	199450.0288
823	199428.3151
824	199409.373
825	199392.8432
826	199318.2909
827	199275.5771
828	199226.2858
829	199199.8617
830	199100.6096
831	199096.7677
832	199081.981
833	199078.7811
834	199058.8002
835	199043.5802
836	199041.4794
837	199039.8961
838	198976.8964
839	198954.9735
840	198905.9845
841	198904.4825
842	198841.116
843	198806.3649
844	198687.4254
845	198576.9827
846	198544.4156
847	198493.7489
848	198446.0709
849	198413.2009
850	198324.5511
851	198310.9574
852	198269.05
853	198248.4835
854	198247.3395
855	198245.3367
856	198222.0292
857	198196.1404
858	198125.0629
859	198046.9868
860	198029.2104
861	197970.7353
862	197886.8515
863	197883.7737
864	197855.7871
865	197824.673
866	197813.1555
867	197779.7381
868	197715.8864
869	197696.5938
870	197623.2398
871	197571.1148
872	197511.8471
873	197439.3409
874	197407.1311
875	197345.7397
876	197344.8473
877	197291.4305
878	197263.1418
879	197189.7111
880	197168.7118
881	197051.4128
882	196991.5995
883	196988.5513
884	196942.8952
885	196895.8431
886	196810.2094
887	196763.7878
888	196697.256
889	196637.143
890	196436.3821
891	196433.0442
892	196415.0708
893	196265.1392
894	196262.5979
895	196095.1906
896	196093.9947
897	196090.7551
898	196017.1724
899	195973.1119
900	195972.0384
901	195971.0335
902	195954.5359
903	195953.6005
904	195952.7243
905	195951.9033
906	195951.134
907	195928.3041
908	195927.5835
909	195885.3045
910	195758.4928
911	195734.5816
912	195661.8992
913	195635.2346
914	195474.4288
915	195458.0828
916	195435.6363
917	195419.5871
918	195362.6217
919	195359.2102
920	195324.4105
921	195304.6559
922	195303.9675
923	195284.8967
924	195266.2397
925	195257.0797
926	195256.4565
927	195255.8713
928	195219.5511
929	195160.7571
930	195124.249
931	195084.131
932	195030.7133
933	194955.8309
934	194903.8647
935	194839.347
936	194838.6598
937	194838.0151
938	194784.9408
939	194784.3264
940	194783.21
941	194782.1977
942	194736.7144
943	194687.8307
944	194687.1354
945	194609.7037
946	194607.3507
947	194544.9753
948	194378.554
949	194308.6418
950	194260.1815
951	194249.3711
952	194207.4856
953	194195.625
954	194193.24
955	194137.4677
956	194127.5868
957	194116.5778
958	194070.9326
959	194015.267
960	193994.123
961	193948.9441
962	193906.8086
963	193849.9121
964	193794.2166
965	193791.9154
966	193782.3143
967	193743.9892
968	193725.6766
969	193710.2579
970	193682.257
971	193543.4608
972	193524.6678
973	193501.1652
974	193464.3843
975	193431.8541
976	193411.6101
977	193328.6368
978	193281.7132
979	193225.1605
980	193224.3352
981	193223.5591
982	193180.4875
983	193179.7486
984	193165.1544
985	193146.481
986	193123.9033
987	193102.6527
988	193085.0217
989	193026.2117
990	192926.8244
991	192887.71
992	192721.3542
993	192666.6405
994	192644.4794
995	192643.7432
996	192592.7119
997	192592.0219
998	192591.3759
999	192590.771
